locus_tag,start,stop,strand,gene_name,old_locus_tag,gene_product,COG,uniprot
STM14_0245,241313,241936,-,yadS,,hypothetical protein,Function unknown,A0A0F6AX09
STM14_0246,241973,242773,-,btuF,,vitamin B12-transporter protein BtuF,Inorganic ion transport and metabolism,A0A0F6AX10
STM14_0247,242766,243464,-,pfs,,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,Nucleotide transport and metabolism,A0A0F6AX11
STM14_0248,243549,245066,+,dgt,,deoxyguanosinetriphosphate triphosphohydrolase,Nucleotide transport and metabolism,A0A0F6AX12
STM14_0249,245196,246623,+,htrA,,serine endoprotease,"Post-translational modification, protein turnover,and chaperones",A0A0F6AX13
STM14_0250,246776,247933,+,cdaR,,carbohydrate diacid transcriptional activator CdaR,Transcription,A0A0F6AX14
STM14_0251,248022,248408,-,yaeH,,hypothetical protein,Function unknown,A0A0F6AX15
STM14_0252,248655,249957,+,STM14_0252,,,Inorganic ion transport and metabolism,
STM14_0253,249994,250818,-,dapD,,2%2C3%2C4%2C5-tetrahydropyridine-2-carboxylate N-succinyltransferase,Amino acid transport and metabolism,A0A0F6AX16
STM14_0254,250848,253520,-,glnD,,PII uridylyl-transferase,"Post-translational modification, protein turnover,and chaperones",A0A0F6AX17
STM14_0255,253757,254551,-,map,,methionine aminopeptidase,Amino acid transport and metabolism,A0A0F6AX18
STM14_0256,254799,255083,+,STM14_0256,,30S ribosomal protein S2,"Translation, ribosomal structure and biogenesis",A0A0F6AX19
STM14_0257,255002,255727,+,rpsB,,30S ribosomal protein S2,"Translation, ribosomal structure and biogenesis",A0A0F6AX20
STM14_0258,255985,256836,+,tsf,,elongation factor Ts,"Translation, ribosomal structure and biogenesis",A0A0F6AX21
STM14_0259,256981,257706,+,pyrH,,uridylate kinase,Nucleotide transport and metabolism,A0A0F6AX22
STM14_0260,257853,258410,+,frr,,ribosome recycling factor,"Translation, ribosomal structure and biogenesis",A0A0F6AX23
STM14_0261,258551,259747,+,dxr,,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Lipid transport and metabolism,A0A0F6AX24
STM14_0262,259830,260033,+,STM14_0262,,hypothetical protein,No COG annotation,A0A0F6AX25
STM14_0263,260060,260818,+,uppS,,undecaprenyl pyrophosphate synthase,Nucleotide transport and metabolism,A0A0F6AX26
STM14_0264,260831,261688,+,cdsA,,CDP-diglyceride synthase,Lipid transport and metabolism,A0A0F6AX27
STM14_0265,261700,263052,+,yaeL,,zinc metallopeptidase,Cell wall/membrane/envelope biogenesis,D0ZKX9
STM14_0266,263084,265498,+,yaeT,,outer membrane protein assembly factor YaeT,Cell wall/membrane/envelope biogenesis,A0A0F6AX28
STM14_0267,265621,266106,+,hlpA,,periplasmic chaperone,Cell wall/membrane/envelope biogenesis,A0A0F6AX29
STM14_0268,266110,267135,+,lpxD,,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,Lipid transport and metabolism,A0A0F6AX30
STM14_0269,267151,267696,+,fabZ,,(3R)-hydroxymyristoyl-ACP dehydratase,Lipid transport and metabolism,A0A0F6AX31
STM14_0270,267700,268488,+,lpxA,,UDP-N-acetylglucosamine acyltransferase,Lipid transport and metabolism,A0A0F6AX32
STM14_0271,268488,269636,+,lpxB,,lipid-A-disaccharide synthase,Cell wall/membrane/envelope biogenesis,A0A0F6AX33
STM14_0272,269633,270229,+,rnhB,,ribonuclease HII,"Replication, recombination and repair",A0A0F6AX34
STM14_0273,270253,273735,+,dnaE,,DNA polymerase III subunit alpha,"Replication, recombination and repair",A0A0F6AX35
STM14_0274,273748,274707,+,accA,,acetyl-CoA carboxylase carboxyltransferase subunit alpha,Lipid transport and metabolism,A0A0F6AX36
STM14_0275,274887,276650,+,STM14_0275,,putative endochitinase,Cell wall/membrane/envelope biogenesis,A0A0F6AX37
STM14_0276,276726,278867,+,ldcC,,lysine decarboxylase 2,Amino acid transport and metabolism,A0A0F6AX38
STM14_0277,278923,279312,+,yaeR,,hypothetical protein,Amino acid transport and metabolism,A0A0F6AX39
STM14_0278,279375,280667,+,tilS,,tRNA(Ile)-lysidine synthetase,"Translation, ribosomal structure and biogenesis",A0A0F6AX40
STM14_0279,280751,281011,-,rof,,Rho-binding antiterminator,Transcription,A0A0F6AX41
STM14_0280,280998,281216,-,yaeP,,hypothetical protein,Function unknown,A0A0F6AX42
STM14_0281,281396,281941,+,yaeQ,,putative cytoplasmic protein,Function unknown,A0A0F6AX43
STM14_0282,281938,282360,+,yaeJ,,hypothetical protein,"Translation, ribosomal structure and biogenesis",A0A0F6AX44
STM14_0283,282392,283093,+,cutF,,,Cell wall/membrane/envelope biogenesis,
STM14_0284,283167,284885,-,proS,,prolyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",A0A0F6AX45
STM14_0285,284996,285703,-,yaeB,,putative regulatory protein,Function unknown,A0A0F6AX46
STM14_0286,285700,286104,-,rcsF,,outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,A0A0F6AX47
STM14_0287,286223,287038,-,metQ,,DL-methionine transporter substrate-binding subunit,Cell wall/membrane/envelope biogenesis,A0A0F6AX48
STM14_0288,287077,287730,-,yaeE,,DL-methionine transporter permease subunit,Inorganic ion transport and metabolism,A0A0F6AX49
STM14_0289,287723,288754,-,metN,,DL-methionine transporter ATP-binding subunit,Inorganic ion transport and metabolism,A0A0F6AX50
STM14_0290,288944,289510,+,yaeD,,D%2CD-heptose 1%2C7-bisphosphate phosphatase,Nucleotide transport and metabolism,A0A0F6AX51
STM14_0291,289581,289703,-,STM14_0291,,hypothetical protein,No COG annotation,A0A0F6AX52
STM14_0292,289616,289819,-,STM14_0292,,hypothetical protein,No COG annotation,A0A0F6AX53
STM14_0296,291760,291876,+,STM14_0296,,hypothetical protein,No COG annotation,A0A0F6B9X1
STM14_0300,295769,296572,+,dkgB,,2%2C5-diketo-D-gluconate reductase B,Coenzyme transport and metabolism,A0A0F6AX55
STM14_0301,296593,297507,-,yafC,,putative transcriptional regulator,Transcription,A0A0F6AX56
STM14_0302,297612,298787,+,STM14_0302,,putative drug efflux protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6AX57
STM14_0303,298940,299719,+,yafD,,hypothetical protein,Function unknown,A0A0F6AX58
STM14_0304,299797,300567,+,yafE,,putative methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0F6AX59
STM14_0305,300623,301990,-,dniR,,membrane-bound lytic murein transglycosylase D,Cell wall/membrane/envelope biogenesis,A0A0F6AX60
STM14_0306,302062,302817,-,gloB,,hydroxyacylglutathione hydrolase,Function unknown,A0A0F6AX61
STM14_0307,302852,303574,+,yafS,,putative SAM-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0F6AX62
STM14_0308,303571,304038,-,rnhA,,ribonuclease H,"Replication, recombination and repair",A0A0F6AX63
STM14_0309,304102,304833,+,dnaQ,,DNA polymerase III subunit epsilon,Nucleotide transport and metabolism,A0A0F6AX64
STM14_0310,304859,304966,-,STM14_0310,,hypothetical protein,No COG annotation,A0A0F6AX65
STM14_0312,305167,305274,+,STM14_0312,,hypothetical protein,No COG annotation,A0A0F6AX66
STM14_0313,305365,306420,-,STM14_0313,,putative cytoplasmic protein,Function unknown,A0A0F6AX67
STM14_0314,306431,307426,-,STM14_0314,,putative cytoplasmic protein,Function unknown,A0A0F6AX68
STM14_0315,307423,309306,-,STM14_0315,,putative cytoplasmic protein,Function unknown,A0A0F6AX69
STM14_0316,309322,309816,-,STM14_0316,,putative cytoplasmic protein,Function unknown,A0A0F6AX70
STM14_0317,309813,310637,-,STM14_0317,,putative cytoplasmic protein,Function unknown,A0A0F6AX71
STM14_0318,310624,311526,-,STM14_0318,,putative cytoplasmic protein,No COG annotation,A0A0F6AX72
STM14_0319,311894,314533,+,STM14_0319,,putative chaperone ATPase,"Post-translational modification, protein turnover,and chaperones",A0A0F6AX73
STM14_0320,314633,315175,+,STM14_0320,,putative cytoplasmic protein,Function unknown,A0A0F6AX74
STM14_0321,315199,316692,+,STM14_0321,,putative cytoplasmic protein,Function unknown,A0A0F6AX75
STM14_0322,316755,316865,+,STM14_0322,,invasol SirA,No COG annotation,A0A0F6AX76
STM14_0323,316878,317324,+,STM14_0323,,putative cytoplasmic protein,No COG annotation,A0A0F6AX77
STM14_0324,317578,318063,+,STM14_0324,,putative cytoplasmic protein,Function unknown,A0A0F6AX78
STM14_0325,318368,318853,+,STM14_0325,,putative cytoplasmic protein,Function unknown,A0A0F6AX79
STM14_0326,318838,319221,+,STM14_0326,,putative periplasmic protein,Function unknown,A0A0F6AX80
STM14_0327,319364,319849,+,STM14_0327,,putative cytoplasmic protein,Function unknown,A0A0F6AX81
STM14_0328,319916,320452,+,STM14_0328,,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,A0A0F6AX82
STM14_0329,320456,321799,+,STM14_0329,,putative cytoplasmic protein,Function unknown,A0A0F6AX83
STM14_0330,321796,323100,+,STM14_0330,,hypothetical protein,Cell motility,A0A0F6AX84
STM14_0331,323105,323878,+,STM14_0331,,putative inner membrane protein,No COG annotation,A0A0F6AX85
STM14_0332,324081,324512,+,STM14_0332,,putative Shiga-like toxin A subunit,No COG annotation,A0A0F6AX86
STM14_0333,324546,328415,+,STM14_0333,,putative inner membrane protein,Cell motility,A0A0F6AX87
STM14_0334,328415,329203,+,STM14_0334,,putative cytoplasmic protein,Function unknown,A0A0F6AX88
STM14_0335,329200,329616,+,STM14_0335,,putative periplasmic protein,Function unknown,A0A0F6AX89
STM14_0336,329640,330161,+,STM14_0336,,putative cytoplasmic protein,Function unknown,A0A0F6AX90
STM14_0337,330303,330512,+,STM14_0337,,hypothetical protein,No COG annotation,A0A0F6AX91
STM14_0338,330558,332747,+,STM14_0338,,putative cytoplasmic protein,Function unknown,A0A0F6AX92
STM14_0339,332771,333217,+,STM14_0339,,putative cytoplasmic protein,Function unknown,A0A0F6AX93
STM14_0340,333236,337330,+,STM14_0340,,putative RHS-like protein,Cell wall/membrane/envelope biogenesis,A0A0F6AX94
STM14_0341,337687,338520,+,STM14_0341,,putative RHS-like protein,Cell wall/membrane/envelope biogenesis,A0A0F6AX95
STM14_0342,338514,338960,+,STM14_0342,,putative cytoplasmic protein,No COG annotation,A0A0F6AX96
STM14_0343,339144,339275,+,STM14_0343,,hypothetical protein,No COG annotation,A0A0F6AX97
STM14_0344,339345,339485,+,STM14_0344,,hypothetical protein,No COG annotation,A0A0F6AX98
STM14_0345,339523,339960,+,STM14_0345,,putative cytoplasmic protein,Function unknown,A0A0F6AX99
STM14_0346,340013,340288,-,STM14_0346,,hypothetical protein,Function unknown,A0A0F6AXA0
STM14_0348,340729,341037,+,STM14_0348,,putative cytoplasmic protein,No COG annotation,A0A0F6AXA1
STM14_0350,341440,341637,+,STM14_0350,,putative transposase,"Replication, recombination and repair",A0A0F6AXA2
STM14_0352,342894,343406,+,safA,,putative outer membrane protein,Cell wall/membrane/envelope biogenesis,A0A0F6AXA3
STM14_0353,343514,344227,+,safB,,putative fimbrial assembly chaparone,Cell wall/membrane/envelope biogenesis,A0A0F6AXA4
STM14_0354,344251,346761,+,safC,,putative fimbrial usher,Cell motility,A0A0F6AXA5
STM14_0355,346783,347253,+,safD,,putative fimbrial subunit,Function unknown,A0A0F6AXA6
STM14_0356,347659,348480,+,ybeJ,,putative xylanase/chitin deacetylase,Carbohydrate transport and metabolism,A0A0F6AXA7
STM14_0357,348560,348820,+,STM14_0357,,hypothetical protein,Function unknown,A0A0F6AXA8
STM14_0358,349295,350242,+,sinR,,transcriptional regulator,Transcription,A0A0F6AXA9
STM14_0359,350359,350574,+,STM14_0359,,putative cytoplasmic protein,No COG annotation,A0A0F6AXB0
STM14_0360,350578,351297,-,STM14_0360,,SapA-like protein,Cell wall/membrane/envelope biogenesis,A0A0F6AXB1
STM14_0361,351322,351450,-,STM14_0361,,hypothetical protein,No COG annotation,A0A0F6AXB2
STM14_0362,351628,352035,-,STM14_0362,,VirG-like protein,Cell motility,A0A0F6AXB3
STM14_0363,352120,352227,-,STM14_0363,,hypothetical protein,No COG annotation,A0A0F6B6S5
STM14_0364,352406,353173,-,yafV,,hypothetical protein,Function unknown,A0A0F6AXB5
STM14_0365,353282,355726,-,fadE,,acyl-CoA dehydrogenase,Lipid transport and metabolism,A0A0F6AXB6
STM14_0366,355966,356544,+,gmhA,,phosphoheptose isomerase,Carbohydrate transport and metabolism,A0A0F6AXB7
STM14_0367,356757,357524,+,yafJ,,putative glutamine amidotransferase,Function unknown,A0A0F6AXB8
STM14_0368,357495,358235,-,yafK,,putative periplasmic protein,Function unknown,A0A0F6AXB9
STM14_0369,358485,359540,+,dinP,,DNA polymerase IV,"Replication, recombination and repair",A0A0F6AXC0
STM14_0370,359759,360891,+,STM14_0370,,,Function unknown,
STM14_0371,360888,361502,+,prfH,,peptide chain release factor-like protein,"Translation, ribosomal structure and biogenesis",A0A0F6AXC1
STM14_0372,361658,363115,-,pepD,,aminoacyl-histidine dipeptidase,Amino acid transport and metabolism,A0A0F6AXC2
STM14_0373,363364,363822,+,gpt,,xanthine-guanine phosphoribosyltransferase,Nucleotide transport and metabolism,A0A0F6AXC3
STM14_0374,363911,365155,+,frsA,,fermentation/respiration switch protein,Function unknown,A0A0F6AXC4
STM14_0375,365213,365614,+,crl,,DNA-binding transcriptional regulator Crl,Transcription,A0A0F6AXC5
STM14_0376,365665,366717,-,phoE,,outer membrane phosphoporin protein E,Cell wall/membrane/envelope biogenesis,A0A0F6AXC6
STM14_0377,366783,366935,-,STM14_0377,,conserved hypothetical protein,No COG annotation,A0A0F6AXC7
STM14_0378,367000,368103,+,proB,,gamma-glutamyl kinase,Nucleotide transport and metabolism,A0A0F6AXC8
STM14_0379,368115,369365,+,proA,,gamma-glutamyl phosphate reductase,Amino acid transport and metabolism,A0A0F6AXC9
STM14_0381,369882,370682,-,STM14_0381,,IS3 transposase,"Replication, recombination and repair",A0A0F6AXD0
STM14_0382,370609,371314,+,STM14_0382,,,"Post-translational modification, protein turnover,and chaperones",
STM14_0383,371424,371747,+,STM14_0383,,putative cytoplasmic protein,Function unknown,A0A0F6AXD1
STM14_0384,371989,373326,+,STM14_0384,,putative permease,Amino acid transport and metabolism,A0A0F6AXD2
STM14_0385,373458,374879,+,STM14_0385,,isopropylmalate isomerase large subunit,Amino acid transport and metabolism,A0A0F6AXD3
STM14_0386,374881,375507,+,STM14_0386,,putative 3-isopropylmalate isomerase,Amino acid transport and metabolism,A0A0F6AXD4
STM14_0387,375522,376400,+,STM14_0387,,putative fumarylacetoacetate hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0F6AXD5
STM14_0388,376400,377314,+,STM14_0388,,putative hydrolase/acyltransferase,Function unknown,A0A0F6AXD6
STM14_0389,377348,378313,+,STM14_0389,,putative transcriptional regulator,Transcription,A0A0F6AXD7
STM14_0390,378258,378530,-,STM14_0390,,putative cytoplasmic protein,No COG annotation,A0A0F6AXD8
STM14_0391,379221,379619,+,STM14_0391,,putative outer membrane protein,No COG annotation,A0A0F6AXD9
STM14_0392,379666,380424,-,stbE,,putative fimbrial chaparone,Cell wall/membrane/envelope biogenesis,A0A0F6AXE0
STM14_0393,380390,381715,-,stbD,,putative fimbrial usher,Cell motility,A0A0F6AXE1
STM14_0394,381720,384287,-,stbC,,putative fimbrial usher,Cell motility,A0A0F6AXE2
STM14_0395,384271,385032,-,stbB,,putative fimbrial chaperone,Cell wall/membrane/envelope biogenesis,A0A0F6AXE3
STM14_0396,385094,385630,-,stbA,,putative fimbrial major subunit,Cell motility,A0A0F6AXE4
STM14_0397,385733,385843,-,STM14_0397,,hypothetical protein,No COG annotation,A0A0F6AXE5
STM14_0398,386264,387028,+,STM14_0398,,putative inner membrane protein,Transcription,A0A0F6AXE6
STM14_0399,387001,387501,+,STM14_0399,,putative periplasmic protein,No COG annotation,A0A0F6AXE7
STM14_0400,387801,389375,+,STM14_0400,,hypothetical protein,Signal transduction mechanisms,A0A0F6AXE8
STM14_0401,389475,390218,+,STM14_0401,,putative response regulator,Transcription,A0A0F6AXE9
STM14_0402,390191,390679,+,STM14_0402,,putative inner membrane protein,No COG annotation,A0A0F6AXF0
STM14_0403,390802,390939,-,STM14_0403,,hypothetical protein,No COG annotation,A0A0F6AXF1
STM14_0404,391081,391605,+,STM14_0404,,putative outer membrane protein,Cell wall/membrane/envelope biogenesis,A0A0F6AXF2
STM14_0405,391749,392390,+,STM14_0405,,putative response regulator,Transcription,A0A0F6AXF3
STM14_0406,392401,392625,+,STM14_0406,,putative inner membrane protein,No COG annotation,A0A0F6AXF4
STM14_0407,392683,393042,+,STM14_0407,,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,A0A0F6AXF5
STM14_0408,393112,394569,-,STM14_0408,,outer membrane efflux-like protein,Cell wall/membrane/envelope biogenesis,A0A0F6AXF6
STM14_0409,394586,397753,-,STM14_0409,,putative cation efflux system protein,Defense mechanisms,A0A0F6AXF7
STM14_0410,397750,398955,-,STM14_0410,,putative cation efflux pump,Cell wall/membrane/envelope biogenesis,A0A0F6AXF8
STM14_0411,399120,399233,+,STM14_0411,,hypothetical protein,No COG annotation,A0A0F6AXF9
STM14_0412,399253,401541,+,STM14_0412,,putative cation transport ATPase,Inorganic ion transport and metabolism,A0A0F6AXG0
STM14_0413,401553,402017,+,STM14_0413,,putative transcriptional regulator,Transcription,A0A0F6AXG1
STM14_0414,402095,402289,+,STM14_0414,,putative copper chaperone,Inorganic ion transport and metabolism,A0A0F6AXG2
STM14_0415,402243,402422,+,STM14_0415,,putative metal-binding transport protein,No COG annotation,A0A0F6AXG3
STM14_0416,402582,403835,+,STM14_0416,,putative inner membrane protein,Inorganic ion transport and metabolism,A0A0F6AXG4
STM14_0417,404024,405982,+,mod,,DNA methylase,"Replication, recombination and repair",A0A0F6AXG5
STM14_0418,405989,408964,+,res,,DNA restriction enzyme,Defense mechanisms,A0A0F6AXG6
STM14_0419,409084,409218,+,STM14_0419,,hypothetical protein,No COG annotation,A0A0F6AXG7
STM14_0420,409118,409237,-,STM14_0420,,hypothetical protein,No COG annotation,A0A0F6AXG8
STM14_0421,409241,409342,+,STM14_0421,,putative cytoplasmic protein,No COG annotation,A0A0F6AXG9
STM14_0422,409459,410862,+,STM14_0422,,cytochrome BD2 subunit I,Energy production and conversion,A0A0F6AXH0
STM14_0423,410859,411869,+,STM14_0423,,cytochrome BD2 subunit II,Energy production and conversion,A0A0F6AXH1
STM14_0424,411886,412110,+,STM14_0424,,putative cytoplasmic protein,No COG annotation,A0A0F6AXH2
STM14_0425,412206,413210,+,STM14_0425,,putative transcriptional regulator,Transcription,A0A0F6AXH3
STM14_0426,413356,415464,+,foxA,,ferrioxamine receptor,Cell wall/membrane/envelope biogenesis,A0A0F6AXH4
STM14_0427,415505,416137,-,yahN,,putative transport protein,Amino acid transport and metabolism,A0A0F6AXH5
STM14_0428,416369,416644,+,yahO,,hypothetical protein,Function unknown,A0A0F6AXH6
STM14_0429,416780,418405,-,prpR,,prp operon regulator,Transcription,A0A0F6AXH7
STM14_0430,418467,418640,+,STM14_0430,,hypothetical protein,No COG annotation,A0A0F6AXH8
STM14_0431,418670,419557,+,prpB,,2-methylisocitrate lyase,Coenzyme transport and metabolism,A0A0F6AXH9
STM14_0432,419680,420849,+,prpC,,methylcitrate synthase,Energy production and conversion,A0A0F6AXI0
STM14_0433,420889,422340,+,prpD,,2-methylcitrate dehydratase,Function unknown,A0A0F6AXI1
STM14_0434,422381,424267,+,prpE,,propionyl-CoA synthetase,Lipid transport and metabolism,A0A0F6AXI2
STM14_0435,424371,425345,-,hemB,,delta-aminolevulinic acid dehydratase,Coenzyme transport and metabolism,A0A0F6AXI3
STM14_0436,425565,425684,+,STM14_0436,,hypothetical protein,No COG annotation,A0A0F6AXI4
STM14_0437,425675,425827,-,STM14_0437,,hypothetical protein,No COG annotation,A0A0F6AXI5
STM14_0438,425858,428794,+,yaiU,,flagellar protein,Cell wall/membrane/envelope biogenesis,A0A0F6AXI6
STM14_0439,428880,429503,+,yaiV,,putative DNA-binding transcriptional regulator,Signal transduction mechanisms,A0A0F6AXI7
